,user,text
2566,danharris,Here is how China hunts down coronavirus critics.  #chinazi #pandemic #China
2567,V2019N,"""“#Pandemic” isn’t just a technical #publichealth term. It also is — or should be — a rallying cry."" @mtosterholm @CIDRAP
https://nytimes.com/2020/02/24/opinion/coronavirus-pandemic.html?action=click&module=Opinion&pgtype=Homepage… #Covid_19
#coronavirus"
2568,GHS,"""Our decision about whether to use the word #pandemic is based on an ongoing assessment of the geographical spread of the virus, the severity of disease it causes, and the impact it has on the whole of society."" 

-@DrTedros on #COVID19 at @WHO briefing 24 Feb. #coronavirus"
2569,DorothySmith11,"#Trump's budget cutting may have gone too far. A week ago we thought the coronavirus was slowing. It wasn't. Instead it has become a #pandemic. Let's admit what it is, where it is, how it's spreading and how many people are dying. 

#China, Tell the truth about your disease now"
2570,SafaMote,"This announcement, ""prepare for a #potential #pandemic"", is at least 4 weeks late. Our only defense against #coronavirus #COVID19 is EARLY #INTERVENTION, until a #vaccine is developed.

There would be no benefit in declaring a pandemic after millions have already been #infected."
2571,V2019N,"How to prepare?
CDC recommendations are for influenza pandemic preparedness 2 weeks food/water, but vaccine may be a year or more from use, the incubation time of the virus 0-24 days, #coronavirus #pandemic #preparedness may anticipate longer period of social distancing."
2572,GHS,"“I have spoken frequently about the need for facts, not fear. Using the word ‘pandemic’ now does not fit the facts, but it may certainly cause fear.”

-@DrTedros on the current #COVID19 situation around the  & using the term #pandemic at @WHO briefing on #coronavirus 24 Feb."
2573,TerryTyler4,"By the time the #tippingpoint has been recognised, it is already too late...
#Pandemic #Virus 

TIPPING POINT
http://bookgoodies.com/a/B074LSCX5M

99p or #FREE on #KindleUnlimited
Over 300 x 5* across series 

Great #bookblogger reviews:
'...you really should just go pick it up'"
2574,DrDenaGrayson,"In 2009, @WHO took heat for calling H1N1 flu a “#pandemic,” when it turned out to be relatively mild.

Now, they’re being overly cautious, a dangerous move.

This new #coronavirus is spreading fast with mortality similar to 1918 Spanish Flu: a #pandemic.

https://twitter.com/drdenagrayson/status/1231951401116368898?s=21…"
2575,davidgura,"President Trump and his advisers said Google was building a nationwide #COVID19 triage website. 
 
That's not true. 
 
Verily is, and it is certainly not ready for prime time."
2576,j_mcelroy,"B.C. had its highest number of new #COVID19 cases today. 

But remember, this is not a logarithmic chart, and for comparison:

- After Italy reached 20 cases, they were at 1,128 cases eight days later 
- We were at 21 cases eight days ago. Now we're at 64"
2577,CGTNOfficial,Watch: Australian minister tests positive for #COVID19 after visiting Washington
2578,DrEricDing,"New #COVID19 US cases per day: it took 2 month to hit 1000 cases, but we hit almost +500 just today. 

3/1 - 89 
3/2 - 105 
3/3 - 125 
3/4 - 159 
3/5 - 227 
3/6 - 331 
3/7 - 444 
3/8 - 564 
3/9 - 728 
3/10 - 1,000 
3/11 - 1,267 
3/12 - 1,645 
3/13 - 2,131 (6pm - day isn’t over)"
2579,YoniFreedhoff,"Alternate headline: @TimHortons requires its workers to risk themselves, their physicians, their physicians' staff, and their physicians' other patients for notes to help protect their profits. This practice is shameful. And it should be illegal. #COVID19"
2580,SFU,"Following advice about #COVID19 from regional and provincial health officers, #SFU will be moving away from in-person instruction beginning next week for the remainder of the term. All SFU campuses will remain open. More information: http://sfu.ca/covid19"
2581,NikkiFriedFL,"With Florida schools closed through March 30th due to #COVID19, many are concerned about kids missing school meals.

As the state agency funding the school lunch program, we’re announcing guidance for parents/families and school districts.

Read below for details "
2582,VABVOX,"#COVID19 ALERT :
Among the people I have interviewed in the past two days are several mental health professionals. One over-arching message I have gotten, which I will be writing about next week, is that people MUST take breaks from news to lessen anxiety and stress."
2583,ChrChristensen,"News media: Stop publishing pictures of empty supermarket shelves on a 24/7 loop. You're causing panic, and encouraging those who would otherwise refrain from hoarding. It's totally irresponsible. #COVID19"
2584,jalfordteaster,"If you are home sick in NH, without family or support to care for you, or if you are in need of emergency supplies & at home with small children, please reach out to me & I will do my best to meet your need or find someone who can in your community: 603-660-6561. #COVID19"
2585,CAgovernor,"Governor Gavin Newsom issued an executive order ensuring CA public schools serve students in the event of a #COVID19 closure by:
Providing distance learning
Providing school meals
Arranging for supervision for students during school hours
& more"
2586,Brandino_Arrow,They gone be our pilots on these cheap flights  #coronapocalypse #CoronavirusPandemic #coronavirus
2587,jtcd111,Corona Virus really hitting us hard! #coronavirus
2588,Sasha_Dominique,"I wish Doctors were listened to more about #coronavirus because quite frankly some of folks believe everything the media spews as if they are the experts...

Talk to the folks on the front line & calm the frick down people "
2589,RaheemKassam,"For those following, remember the hospital told me to call back at 8pm?

I’m on hold.

Will let you know how it goes.

Now nearly 8 hours late on my 72 hour #coronavirus test results."
2590,metehann5561,Thank you for saving us from #coronavirus @1_Muslera_25
2591,FirefighteRose,"Master Shake looking at the calendar during the #coronavirus 
""Cancelled. Cancelled! OH! You are so freakin' cancelled!"""
2592,DrDenaGrayson,"We've seen this movie before in #China and #Italy, whose governments didn't move quickly to contain the #coronavirus.

It's an utter horror show.

Let's not repeat their fatal mistakes.

My near-term plan for the #CoronavirusPandemic.
@GlobeOpinion"
2593,BikeBaloney,"The failure that has taken place in America over the #coronavirus is @realDonaldTrump fault. Doesn't matter how you spin it. He is blaming Obama for past shit but nope, not trumps fault. I hope he has it and gets really sick."
2594,SCA77,"Got cold feet on your hate post ⁦@theBicyKyle⁩ ?
#coronavirus"
2595,_beardownloyal,Guess I’m not gonna be able to wipe my butt for a month. #myrtlebeach #coronavirus
2596,TjRodo,"#Coronavirus is a respiratory disease, not a cold in the ass"
2597,rjb1234,Our “leader” answering the question why he cut the global pandemic office. #Trumpspeech #coronavirus #LincolnProject
2598,cs_irish,Tonight I’m watching what will be the last athletic event for @Fcaflames for a while. Really feel for the seniors who will miss a large portion of their final year of ever playing ball again. #coronavirus
2599,incarceratedbob,I’m about to post something about this  #coronavirus that should be getting more attention from MSM but some reason everyone is quiet  weird...
2600,Gertu0k,"Show me the money, #Coronavirus"
2601,jamaicastar,PM @AndrewHolnessJM says the Government has now imposed travel restrictions on the United Kingdom in the wake of cases of the #Coronavirus. Only citizens and certain exempted persons coming from the UK will be landed in Jamaica . Landed persons will be quarantined.
2602,rachel5906,STOP #coronavirus @realDonaldTrump
2603,Desmos,"Is your school or district shutting down?

Join our Chief Academic Officer @ddmeyer this weekend for our webinar: Distance Learning with Desmos.

Webinar link and information here: http://learn.desmos.com/coronavirus
#coronavirus"
2604,imemehard1,"Hurry, Order Now!!
#coronavirus #memes"
2605,OliviaThai,all my classes are online now at @ucberkeley & I LOVE IT  #coronavirus #covid19
2606,JDCahill4,Replace atomic bomb with  #coronavirus
2607,billboard,A planned @KellyClarkson Las Vegas residency has been postponed due to #coronavirus
2608,nadinevdVelde,"My father Rene, a Holocaust survivor, had a lifelong motto.  Ignacio has mastered it. ""Laugh in the face of adversity."" 
#coronavirus"
2609,abz4158,#eminem #coronavirus did it work?
2610,derekjames150,"""Herd immunity"" is a very high risk strategy. Hundreds of thousands of people could die. They may then find that  #Coronavirus mutates and all the people they hoped would be immune aren't. Is that a risk were prepared to accept?"
2611,BXToDaHeart,"When you have no answers, this is what you do because you know no one with any platform is going to call you out on it.

This Country has allowed these heathens to force their faux ass ""beliefs, values, and morals"" on us for way too long.

https://rawstory.com/2020/03/trump-declares-coronavirus-national-day-of-prayer-and-suggests-looking-to-god-for-protection/…
#coronavirus"
2612,ThereDat,"So, the wife went to Walmart to pick up some groceries today, and noticed this in the cleaning supplies and toilet paper aisles....
#batonrouge #coronapocalypse #coronavirus"
2613,eilperin,SCOOP: The Washington Monument will end all public tours due to #coronavirus (though visitors can still walk its grounds. Read our live updates:
2614,hlanser11,"me when my senior year is getting absolutely shit on, all my best high school experiences won’t happen, and I’ll be trapped in my house the next 3-4 weeks instead of enjoying my time left in high school #coronavirus"
2615,GattsbySucks,"Don't believe what they tell you
https://youtu.be/kMuI1__m_p0
#coronapocalypse #coronavirus #CoronaOutbreak"
2616,TomthunkitsMind,"‘We really need honesty here’ — Listen to this rep call on government health officials to challenge Trump’s lies about the #coronavirus 
#VoteBlueNoMatterWho"
2617,ByClare,CMO Prof Brendan Murphy says it’s “always been the case” that the definition of “contact” with a #coronavirus patient means within the 24 hours before they had symptoms and says it’s outlined in written guidelines. But that’s the first time I’ve ever heard it said in a presser
2618,Technovor2,Me when everyone has to be socially isolated #coronavirus #CoronavirusPandemic #coronapocalypse
2619,SheWhoRises,"WHO #coronavirus testing standards:

“One or more negative results do not rule out the possibility of COVID-19 virus infection. A number of factors could lead to a negative result in an infected individual, including:"
2620,jamaicastar,PM @AndrewHolnessJM says the Government has now imposed travel restrictions on the United Kingdom in the wake of cases of the #Coronavirus.
2621,ACSoklahoma,An important message from our Exec Director @lesafoz #attackingcancer #coronavirus
2622,DrSchaffnit,Work happy hour in the time of #coronavirus @IAS_UCSB
2623,JB_Weiner,When will @BuzzFeed give us a quiz about what your #coronavirus corporate emails say about you
2624,dadbydaylite,When #coronavirus is gritting the world and you realise how isolated you are.
2625,billboard,"As ""The Daily Show"" prepares to go audience-free to protect fans from the #coronavirus, @Trevornoah isn't parting with his studio audience without a proper goodbye"
2626,joebradford,"Talking to my kids today abt #coronavirus, 9 yr old asks if I was worried while traveling. No. Why? I told him we have to
- Be healthy; eat well and nutritious food
- Be hygienic; wash hands, Istinja, respiratory health
- Be considerate; act healthy and hygienic w/ others in mind"
2627,Nostalgiarules1,One more Retro post for today. An awesome Rocky & Bullwinkle Fearless leader plush auction ending soon! #rock #rockyandBullwinkle #coronavirus #Trending #TrendingNow #Warzone #retro #vintage #nostalgia #nostalgiarules #NASCAR #Ebay
2628,ThutDr,Online Self Assessment Tool for #Covid_19 #coronavirus https://myhealth.alberta.ca/journey/covid-19/Pages/Assessment.aspx…
2629,fox7austin,".@tdlrlicense announced Friday that in order to protect the health and safety of its licensees, employees, and members of the public, it is taking action in response to the #coronavirus."
2630,UndeadWalkingFS,"Pre-production on #TheWalkingDead season 11 has been halted amid concerns about #coronavirus https://undeadwalking.com/2020/03/13/walking-dead-season-11-stops-amid-coronavirus-fears/…

Via @SarabethPollock"
2631,PowersWil,Reading DisUnited Nations by Peter Zeihan @PeterZeihan #coronavirus #QuarantineAndChill
2632,TheRealCoVirus,"And he DID!!!
Have I ever told you how much I love Turner & Hooch? @tomhanks is an American treasure, I’m lucky to have gotten so intimate with him. At least Castaway was good practice for quarantine. #WashYourHands
#COVID19 #Coronavirus"
2633,OllieHa23524324,Is this pandemic a judgment from God?  Read What's Up With That? at http://msolliesblog.com for Mar 14 #coronavirus #judgment #pandemic
2634,DigitalTrends,.@Facebook is giving WHO free ads to cut down #coronavirus misinformation. 
2635,CoreySpanos,I’m happy to sacrifice myself for the return of @SkySportsNews #SSN #coronavirus
2636,NBCDFW,BREAKING: 3rd case of #coronavirus reported in Tarrant County: http://on.nbcdfw.com/2G2sflJ
2637,TomthunkitsMind,"Watch as this idiot unintentionally yet deliberately spreads #coronavirus to his daughter.
 04
#FBR"
2638,SBuraik,"#BillGates saw #CoronaOutbreak years ago.

#CoronaVirusUpdate
#coronavirus
#CoronavirusOutbreak
#Covid_19"
2639,boozepotpoker,"Empower Clinics $CBDT.ca – #Cannabis Won’t Cure #Coronavirus, but It Can Help Ease Certain Flu Symptoms $WEED.ca $CGC $ACB $APH $CRON.ca $HEXO.ca $OGI.ca"
2640,SupermanTweets,Always obey the 1 meter rule. Isolating yourself helps too... #coronavirus
2641,AbdulElSayed,"Young people! I’m hearing one of three things re: #COVID19:

1) “I’m not in the high risk zone, so I’m good, nothing changes.”

2) “I have an underlying condition so I’m so screwed.”

3) “I am healthy but I am still SUPER anxious about all this.”

THREAD

1/"
2642,joncoopertweets,Isn’t it ironic that two of the #coronavirus hotspots are the the Trump White House and Mar-a-Lago? 
2643,sfpelosi,"As we are prudently moving to online school work and telework to flatten the curve of #coronavirus, we are exposing the digital divide as yet another fault line in America.  This is a call for delivering universal broadband with a focus on poor, low wealth, and rural areas."
2644,jeffmason1,The White House is conducting temperature checks for reporters in the briefing room ahead of a noon briefing on the #coronavirus
2645,AbhishekKilli,"This is COOL... Isn't it 

SOURCE: NY Times
#coronavirus #covid19"
2646,MrMasonMills,"If you have: a new continuous cough OR a high temperature (37.8 degrees or higher), you should stay at home for 7 days.

Protect yourself. 

Protect your loved ones. 

Protect your colleagues. 

Protect the vulnerable.  

#Coronavirus #COVID19
#WashYourHands #SelfIsolate"
2647,CatherineChase1,"Nixon: ""I am not a crook.""
Clinton: ""I did not have sexual relations with that woman..""

Trump:  ""I don't take responsibility at all."" 
#coronavirus
#MaralagoVirus 

Our nation will not be whole until that man is gone."
2648,MikeLarsenOH,"Surprise, surprise, surprise! Professional douchebag @JIm_Jordan refuses to help people in need. Too bad 
#coronavirus isn't a billionaire, Jim would be all over it."
2649,KhaledBeydoun,"Can’t help but think about men and women in prisons.  

Immigrants held in detention camps.  

Hoping measures are being taken to make sure they’re fed, and tended to humanely, during this #CoronaVirus outbreak."
2650,NYGovCuomo,Will be calling into @CNN right now with an update on #Coronavirus. Tune in.
2651,vonderleyen,"Working together with @eucopresident Charles Michel and Member States on coordinating effective measures at the internal and external EU borders to protect peoples’ health, reduce the spread of #coronavirus and maintain the flow of goods and services within the #EU."
2652,PeterSchiff,"Merkel has announced a massive national bailout to offset the economic effects of the #Coronavirus, which she claims German can easily afford due to its large budget surpluses. Well the U.S. runs massive budget deficits, so on what basis can we afford our nationwide bailout?"
2653,JohnCornyn,"If @POTUS's doctor says there is no need for him to be tested for #coronavirus virus it is presumably because he has no symptoms.  CDC protocol calls for only those with symptoms of the virus to be tested.  Even then, it makes sense to prioritize the most vulnerable."
2654,Ann_Ashford,"Do you have an elderly neighbor? Have you checked in to make sure they have their prescriptions, food, and cleaning supplies? Do they need some help disinfecting their home? Let’s work together as a community to to limit exposure to those at the highest risk. #Coronavirus"
2655,Sanju_Verma_,"10thDec2019-1st case of #coronavirus in Wuhan
31stDec-China calls it 'pneumonia'

3rdJan2020- China forces Doctor #Li to write letter,he lied about #Corona

9thJan-China reports 1st death
18thJan-China finally admits to #COVID2019 
7thFeb- Dr. Li dies

Global media-Not a squeak"
2656,FintanYTWalsh,"There are now 1,140 #coronavirus cases in the UK. A 43% increase on yesterday’s 798. 

Quickly turning into a public health scandal. Focused more on GDP than the welfare of the most vulnerable in society."
2657,unadunphy,"One son went to work as is norm yesterday. Colleague left with suspected #coronavirus ,management wiped down his desk. Wasn't tested because he wasn't sick enough!
Son comes home to household of 7. Families are becoming the vulnerable here.
What use restricting playdates?"
2658,brianmrosenthal,"Just in: For the first time, a New Yorker with #coronavirus has died. The patient was an 82-year-old woman with an underlying medical condition (emphysema), Gov. Andrew Cuomo just announced to reporters"
2659,davidmacdougall,Picture the scene: you studied medicine for 7 years. Been a doctor for a decade. Moved into virology and public health. Become one of the country's top experts. And then some keyboard warrior from Tampere with tribal tattoos tells you they know more than you about #coronavirus.
2660,CorkCoypu,My Mam is 73 with 14 grandchildren. She is over the moon to be left the fuck alone for the next 3 weeks #CoronaVirusUpdates #COVIDー19 #coronavirus #Coronavirusireland #CoronaOutbreak
2661,BethRigby,"Number of #coronavirus cases to 1,140 in UK (up 342 on yesterday and near double number on Thursday - 590)"
2662,Jaxson313,Omg!  A guy at work sent this link to his whole family before he clicked on it!  . #coronapocalypse #coronavirus #CoronaVirusMichigan
2663,khpokar,"Coming together for common good!

15 March, 17:00 IST

PM @narendramodi will lead India at the video conference of all SAARC member countries, to chalk out a strong common strategy to fight COVID-19 in the region. #coronavirus"
2664,littledeekay,"At your press conference yesterday ABOUT THE PANDEMIC, you touched the shared microphone about 8 zillion times, and shook hands with the CEOs of America’s largest companies, all after being exposed first hand to #Coronavirus and refusing to be tested.

SOCIAL DISTANCING, a$$hole!"
2665,greyfawk,Are you watching the news. #coronavirus is causing countries to close their border. Lets chill with @corona beer 
2666,mcadam_rob,"I asked myself what can I do to help in any way during this #coronavirus ...

The answer : insofar as possible avoid supermarkets and buy only what is needed from small independent retailers in north Belfast who will struggle to stay afloat....

Make sense "
2667,_HughFriel,"Eton College and Harrow schools closed due to #Coronavirus ..... do I have to say it! 

Don't send your kids back to school!"
2668,logical4ever,"When I speak to my pharmacist this week to order my medication, I’m  going to ask him for one of those new #coronavirus testing kits 

I am 62 with lung cancer who has had flu like symptoms for the past week

I live with my 85 yr old mother in a small bungalow

So I need to know"
2669,ZAtalks,"We all living in fear of #CoronaVirus but at same time not thinking what's wrong? 

Why Allah removed ppl near the pure Holy Kaa'ba? Why prayers time is shortened? Why all of sudden we cannot travel, meet people & enjoy?

It's a Wake-up call for everyone! Reach out to HIM(swt)."
2670,ArchithNEWS,"Georgia can count 64 cases -- the largest increase in a 24 hour period. Governor @BrianKempGA says they are processing 100 a day, and soon 200 daily

15 Cobb
11 Fulton
8 DeKelab
7 Bartow
5 Cherokee
4 Fayette
3 Floyd
2 Coweta
2 Gordon
2 Gwinnett
1 Lee
1 Polk
1 Henry

#coronavirus"
2671,AndyOstroy,You don’t have to worry about #SocialDistancing. You have no friends... #Trump #Coronavirus
2672,eucopresident,"Working together with @vonderleyen and Member States on coordinating effective measures at the internal and external EU borders to protect peoples’ health, reduce the spread of #coronavirus and maintain the flow of goods and services within the #EU"
2673,alexandrabulat,"A lot of people won't be able to get the legal advice they need for settled status given the #coronavirus situation. The Government need to ensure they extend the deadline to apply.

Until then, if I can help by text or phone, I will be free to do so for anyone from next week."
2674,RepMaxRose,"To every nurse, doctor, first responder, janitor and worker on the front lines of the #coronavirus who don't have the option of working from home: we see you, we thank you, and we won't forget you."
2675,SLeasca,"Hi! Can anyone point me to places to donate to:

Parents who need to supplement school lunches

College students now displaced and in need

Hourly employees out of work

Happy to help but I literally don’t know where to go! Will RT any and all resources. 
#coronavirus"
2676,NYCSpeakerCoJo,Very sad news this morning. New York City has its first #coronavirus related death — an 82-year-old woman with emphysema in Manhattan. My heart goes out to her loved ones.
2677,TB_Times,A lot has happened since last night. Here’s a quick look at the last 24 hours with the #coronavirus:
2678,AlfredFlozzy,"They said nobody can stop reggae, #coronavirus stops it  Heavenly father you saw us through  ebora now see us through this Corona thing . "
2679,jessemckinley,"On the question of hospital capacity, @NYGovCuomo says that of the state's some 3,000 intensive care unit beds, about 80 percent are already occupied. #coronavirus"
2680,JohnFromCranber,"The current crisis isn’t #Coronavirus - it’s no worse than any other flu.

The current crisis is a result of the mass hysteria brought about by Dem fear mongering that has led to panic buying, the closing of schools/sporting events, and soon layoffs/an economic downturn."
2681,NYCSpeakerCoJo,Healthcare update from @NYGovCuomo - NY will now waive co-payments for telemedicine services. New York State is encouraging people to use telemedicine when possible. #coronavirus
2682,mubasherlucman,The way the entire planet #Earth is putting together all its resources to combat #CoronaVirus it is commendable and I am sure it is a matter of time that the cure is found. Please do not spread fake news about number of victims as that can be very demoralising and create panic
2683,JonCampbellGAN,"NEW: New York has its first #coronavirus death, per Gov. Cuomo. An 82-year-old woman with emphysema in Manhattan."
2684,Inti_Salgado,"Usually busy and a big group of white ladies are here having their weekend meets but not today. #coronavirus
#coveryourfuckingmouthwhenyousneezeorcoughidiot"
2685,LCETBSchools," - you - all of you - can stop this coronavirus - unknowingly you may be spreading the disease - protect your friends and family by NOT meeting them - that way they will live to thank you for it #Coronavirus @SPINSouthWest 
Please RT "
2686,gregorycendana,"To my fellow @orangetheory members or others who use the gym, how are you dealing with the impact of #coronavirus? 

Do you still go? If so, do you do anything differently? If not, are you using any app or particular at home routine?"
2687,Gregor24191695,"#coronavirus distracts from the real problems the world is facing, f.e. drug epidemy, too powerful governments and rising bureaucracy. Those problems are global and serious!
Stop #addiction!
Digitalize governmental documentation!
Stand up against the rising control!!!"
2688,AkarraCassandra,After #coronavirus the news media channels should be ashamed of themselves. I’m so tired of the fear-mongering and toilet paper panic-buying due to the their over the top coverage of #COVID19
2689,hairymary16,"#coronavirus The reason the numbers are so low in Irl is because impossible to get tested unless you are sick enough to need hospital treatment. No GPs at weekend,  @hselive left off the hook. Expect 1000% rise when infected people eventually access test after St.Patrick’s"
2690,TonySteel60,Greater availability of testing for the #coronavirus will prove that both sides of the pandemic argument are correct - infection rates will be much higher than previously thought but mortality rates will be much lower!
2691,Nnedi,"At least I know I'll definitely be home whenever it gets here. #coronavirus. 

When it arrives, I'm going to wipe down the entire box with Lysol wipes. Lol, just kidding..maybe."
2692,steeveskyara,I’m disgusted that through the #Coronavirus epidemic @stfxuniversity  doesn’t have the on campus clinic and on campus pharmacy is OPEN..........  STFX do better
2693,maxgreenz,"In the era of #coronavirus we need Sam Porter even more, @hideo_kojima_en how did you know?"
2694,DrAdamSykes,"If the UK  has to go into lockdown, with people (who can) having to work from home, we will...

 Help people get started with remote working at no cost.
 Provide @swiftcaseUK workflow management software free of charge for a whole month.

#coronavirus #COVID19"
2695,HeatherHegedus,“We have a long way to go but the feds do seem to be getting better with providing a path for more testing to take place.” @MassGovernor also says the move to allow Quest & Labcorp to test for #coronavirus will be helpful. @boston25
2696,ZishanAli92,"Prime Ministers of other countries are purchasing supplies to stop #CoronaVirus, arranging Hospital beds & quarantining patients

Prime Minister of our country is purchasing MLAs to make govt fall, arranging 5-star Resorts & quarantining leaders

This can happen only in India"
2697,tufly693,"And now its census time this shit can not be coincidental, big virus, stay home, head count  #coronapocalypse #coronavirus #Election2020"
2698,Rockford2oh,"I’m getting pretty sick of these Republicans & @realDonaldTrump telling Ppl that there’s NO need to get tested if you’re not having any symptoms even though you were around Ppl w/the #CoronaVirus!
They’re going to spread it to all of us!
Biggest threat to America the rep party!"
2699,Dralnoaimi,"#coronavirus taught us a lesson that we should care about each other regardless of our religion, ethnic, nationality or color and that they are threats to all of us that we have to work together to counter them ."
2700,mynejad,The prime minister of United Kingdom is asking UK citizens to sit at home if they're showing symptoms of #coronavirus!! Really?! Is it just me or does anyone else think that getting early treatment is essential in saving lives?  Since when doing nothing is a strategy?! #ukcorona
2701,Andyfragglemtb,Are the British public panic buying toilet paper just in case pornhub give the U.K. free access to premium porn so they can wank themselves silly until life goes back to normal? #panicbuyinguk #coronavirus
2702,opexwola,"i think the real #coronavirus battle is the one between introverts and extroverts. may the odds ever be in our favour, as the extroverts battle with their need to socialize and the introverts revel in not having to do peopling. and how we gon get on each other's nerves.
- @Luvvie"
2703,365FUBAR,We’re already seeing booze shortages in Meth Mountain over #coronavirus get it under control @realDonaldTrump
2704,Alicers1994,It amazes me that in this current climate that @brigitsbakery want to charge someone £60 to reschedule a tour when they have symptoms of #COVIDー19 ... what happened to safety first? #coronavirus
2705,ABGstatusXLV,"Wow. @Airbnb (and their host) refusing to give us 50% of our reservation back despite the event we were going for being cancelled due to #coronavirus. Companies like them need to step up. If we can’t work, we need that money."
2706,JamesonRona,"#Coronavirus
Is another STD
 at best it us transferred to and from sexually ABUSE children even now adults abusively ten rested as children themselves.

Effected parts of the body both male and female are through 'genital' transferrence
 Both frontal and rear of even children."
2707,GeekTexas,"Hey @Charmin i think you may be able to cut back on advertising for a while 
#coronavirus"
2708,RyanKraus18,"assuming that I never get through to @Expedia, what’s the best way to get money back? contact the credit card company for a charge back? #coronavirus"
2709,Ananyar_008,"So if there is a positive case in a school, it will shut right? But if they have stopped testing people with symptoms, how will they know!? It will just spread and no one can identify who spread it! Congratulations on that fool proof plan @BorisJohnson
#coronavirus #UKGoverment"
2710,Lindsay22171160,"Could @Entegrus make the next 3 weeks 'low peak' rates? That would be a relief to families!
#coronavirus"
2711,jane_d0ughnut,When seasonal allergies kick in but you're terrified to cough anywhere so no one thinks you have #COVID19  freaking #coronavirus
2712,TheOGCoolZombie,#coronavirus I don’t like you
2713,DracusL,"#coronavirus is a real threat , n will get worst , as schools have decided to continue their normal routine , n give half day to the students n the employees . How will giving the half day off stop the spread?
@OfficeofUT u need to take action pronto !!"
2714,ElleHEeducation,I think open air plays and cinema screenings are going to become very popular. #coronavirus. @OpenAirTheatre
2715,IMightWrong,"I never talk/care politic, but I joined this platform to share my views, as an outsider, on the decision made by 
@BorisJohnson to fight #coronavirus

I agree it's a political decision.
I also agree it's a correct decision.

THREAD"
2716,penelopecoconut,"#coronavirus .@RedHussey 
To anyone who read the message, my school got delayed until April 5th and I need help because I'm having a mental breakdown. Please..."
2717,WeDoNotWantWar1,"Stop talking #toiletpaper, PLEASE. People who buy a lot of it are less annoying than all the others trying to act like smarter because they're complaining on the internet. 

#Coronavirus #Covid_19."
2718,AmarHarvinder,"With all the large gathering places like malls, cinema halls, school and Colleges being shutdown, when will we shutdown the religious places which have more crowd than other places daily.
#coronavirus #Coronavirusmumbai"
2719,Wejda61728991,"1/2 @Ryanair the worst policy for people from countries with closed borders due to #coronavirus. You should let people cancel their flights free of charge. In CZ there is no legal way to board the plane. We also can nit change the flight or postpone it, because we do nt"
2720,ari_russian,"""40 Republicans"" is trending because they voted against a Pork Bill that Democrats were trying to cram up their ass. 

My question, why isn’t this trending 

Why the fuck did the Democrats put their political agenda before American lives? 

#coronavirus #COVID19"
2721,chrissychit11,Question :   Can the British Government (or others) provide emergency funding to the airlines so that their staff are not made redundant? We are all suffering enough already  #coronavirus @downingstreet
2722,lukeming,People have a choice to go to pubs I heard. Some don't it seems. Their love of drinking in public is something they appear to be unable to control in spite of it increasing the chances that people will die from #coronavirus Close the damned pubs now @LeoVaradkar
2723,AarikaSamone,"I think it’s cool I picked and supported the right presidential candidate well before @AndrewYang and #UBI were proven right. 
#EmergencyUBI #Yang2024 #HF #YangGang #HumanityFirst #SaturdayThoughts #coronavirus"
2724,JyothiS16499632,"Sir, you can also take meeting and provide some holidays for us also. You have to take some health measures about our health too 
@ysjagan CM
#coronavirus
#coronafight"
2725,ninjafan5598,"Fucking coronavirus ruined me getting head today #coronavirus
#head"
2726,Blue_Continent,"Okay, I'm calling bullshit on the just FORTY-SEVEN reported cases of #coronavirus  in @Russia."
2727,no_silenced,"I hope Mitch McConnell throws Nancy’s bullshit Socialist bill right in the trash where it belongs

We’re Americans, we can make it on our own

Stop looking to the Government for free handouts

#CoronaVirusUpdates #SaturdayMorning #coronavirus"
2728,toshitoshi99999,"Watching today's Prime Minister Abe's interview while having dinner with his family, a decent junior high school daughter said. ""What's that after all?""
Abe, this is the frank opinion.
#PrimeMinisterAbeConference
#Coronavirus
#Japanesecoronaproblem"
2729,Ghaint_Dhillon,People who called me germophobic will follow my lead. @coronaviruscare #coronavirus
2730,magicalmagzxo,#coronavirus needs to be gone Before April 20th or imma be ready to fight @NiallOfficial is gonna be in Nashville then... i’ll be darned if CoRoNA is going to ruin it for me
2731,mrplado,Red China is to blame for the Wuhan #coronavirus #covid19 outbreak. They let it escape from their Wuhan bioweapons research lab. That's the truth!
2732,mostynmithering,"Our vile govt's response to #coronavirus has been hugely inadequate and purposely so. They see this as a cull like their other policies. It's survival of the fittest, reducing the burden on the state. Then boom, their big pharma friends will arrive with a vaccine #quidsin"
2733,Coolarz1,Well done @Wenzelsthebaker. All the bread is sliced and pre-packed on displays now. So happy I don’t have to stop buying it because of the #coronavirus.
2734,potateux,"Y’all wearing masks and still touching your face and/or others has the same energy as crouching in the halls during tornado drills. What? If it can’t see you it can’t get you?
#staysafe #coronavirus #dobetter"
2735,jennylehman2,Apparently @realDonaldTrump has tested positive for #coronavirus!
2736,Freddie0515,This shit is ridiculous 1 an a half before @Target opens there’s already a line #coronavirus
2737,BentheBear4,"Things have been crazy lately, but hopefully it’ll all blow over at some point.  Wishing everyone safe from the Coronavirus.  #coronavirus #awareness"
2738,InternetPapilio,"Asking for a friend...

Has @Facebook started ""Mark safe from #coronavirus "" ?"
2739,LGChiefCastillo,I have a question for @CapitalOne re: #CoronaVirus...What is your response to folks who are affected by the virus either being sick or jobs affected causing a delay in payments?
2740,tylervanhoose,Was looking forward to the SEC tournament this weekend. Instead it looks like @ashleigh24 trash television has taken over. Thanks #coronavirus
